# ensayo 2026-09-21 18:07:09
# lc1_cuentas_por_N=14.41  lc1_cero_N=51.78  lc1_int16=0
# repeticiones_pedidas=1  B=1.000 rev (posicion)
# lc1_base ya lleva restada la tara del firmware; lc1_raw es cruda
t_ms,t_rel_s,rep,fase,pos_rev,lc1_raw,lc1_base,rpm,par_x10,ref_rpm,lim_a,lim_b,estado,work_us
91784,0.000,1,hacia_A,1.7942,8336,122,-3,-18,-30,0,1,4,10838
91834,0.050,1,hacia_A,1.7850,8336,122,-11,-31,-30,0,1,4,10997
91884,0.100,1,hacia_A,1.7642,8336,123,-25,-30,-30,0,0,4,10998
91934,0.150,1,hacia_A,1.7433,8336,122,-25,-31,-30,0,0,4,10998
91985,0.201,1,hacia_A,1.7204,8332,122,-27,-29,-30,0,0,4,10870
92035,0.251,1,hacia_A,1.6945,8332,122,-31,-29,-30,0,0,4,10998
92085,0.301,1,hacia_A,1.6729,8332,123,-26,-26,-30,0,0,4,10996
92135,0.351,1,hacia_A,1.6479,8332,123,-30,-35,-30,0,0,4,10998
92186,0.402,1,hacia_A,1.6207,8334,123,-32,-27,-30,0,0,4,10873
92236,0.452,1,hacia_A,1.5932,8334,122,-33,-33,-30,0,0,4,10995
92286,0.502,1,hacia_A,1.5698,8334,122,-28,-32,-30,0,0,4,10997
92336,0.552,1,hacia_A,1.5440,8334,122,-31,-35,-30,0,0,4,10998
92386,0.602,1,hacia_A,1.5198,8336,122,-29,-23,-30,0,0,4,10874
92436,0.652,1,hacia_A,1.4932,8336,122,-32,-32,-30,0,0,4,10996
92486,0.702,1,hacia_A,1.4715,8336,122,-26,-27,-30,0,0,4,10997
92536,0.752,1,hacia_A,1.4465,8336,122,-30,-35,-30,0,0,4,10997
92587,0.803,1,hacia_A,1.4202,8311,122,-31,-26,-30,0,0,4,10875
92637,0.853,1,hacia_A,1.3927,8311,122,-33,-30,-30,0,0,4,10996
92687,0.903,1,hacia_A,1.3693,8311,121,-28,-26,-30,0,0,4,10996
92737,0.953,1,hacia_A,1.3568,8311,118,-15,-54,-30,0,0,4,10997
92787,1.003,1,hacia_A,1.3502,8260,114,-8,-76,-30,0,0,4,10872
92837,1.053,1,hacia_A,1.3443,8260,108,-7,-92,-30,0,0,4,10997
92887,1.103,1,hacia_A,1.3352,8260,100,-11,-103,-30,0,0,4,10997
92937,1.153,1,hacia_A,1.3277,8260,90,-9,-121,-30,0,0,4,10996
92987,1.203,1,hacia_A,1.3193,8215,81,-10,-138,-30,0,0,4,10870
93037,1.253,1,hacia_A,1.3102,8215,69,-11,-149,-30,0,0,4,10998
93087,1.303,1,hacia_A,1.3002,8215,56,-12,-165,-30,0,0,4,10999
