# ensayo 2026-09-06 12:52:58
# lc1_cuentas_por_N=0  lc2_cuentas_por_N=0.0  lc2_tara=0
# repeticiones_pedidas=2  B=1.000 rev (posicion)
# lc1_base ya lleva restada la tara del firmware; lc1_raw y lc2_raw son crudas
t_ms,t_rel_s,rep,fase,pos_rev,lc1_raw,lc1_base,lc2_raw,rpm,par_x10,ref_rpm,lim_a,lim_b,estado,work_us
990425,0.000,1,hacia_B,-0.0205,8360,7,-66604,1,5,15,0,0,5,10878
990475,0.050,1,hacia_B,-0.0180,8360,7,-66043,3,11,15,0,0,5,10998
990525,0.100,1,hacia_B,-0.0138,8360,7,-66744,5,16,15,0,0,5,10999
990575,0.150,1,hacia_B,-0.0088,8360,6,-70989,6,25,15,0,0,5,10993
990625,0.200,1,hacia_B,0.0037,8362,7,-69320,15,23,15,0,0,5,10878
990675,0.250,1,hacia_B,0.0120,8362,7,-71119,10,22,15,0,0,5,10997
990725,0.300,1,hacia_B,0.0228,8362,7,-71832,13,30,15,0,0,5,10996
990775,0.350,1,hacia_B,0.0362,8362,7,-70651,16,25,15,0,0,5,10995
990825,0.400,1,hacia_B,0.0445,8362,7,-71570,10,26,15,0,0,5,10883
990875,0.450,1,hacia_B,0.0545,8362,7,-66255,12,28,15,0,0,5,10997
990925,0.500,1,hacia_B,0.0653,8362,7,-68138,13,27,15,0,0,5,10995
990975,0.550,1,hacia_B,0.0762,8362,8,-70769,13,34,15,0,0,5,10997
991025,0.600,1,hacia_B,0.0895,8361,7,-70136,16,29,15,0,0,5,10879
991075,0.650,1,hacia_B,0.1062,8361,7,-71895,20,26,15,0,0,5,10997
991125,0.700,1,hacia_B,0.1203,8361,7,-70108,17,24,15,0,0,5,10998
991175,0.750,1,hacia_B,0.1328,8361,7,-71467,15,22,15,0,0,5,10997
991225,0.800,1,hacia_B,0.1437,8366,7,-72330,13,27,15,0,0,5,10883
991275,0.850,1,hacia_B,0.1545,8366,8,-71371,13,38,15,0,0,5,10997
991325,0.900,1,hacia_B,0.1687,8366,8,-70982,17,26,15,0,0,5,10997
991375,0.950,1,hacia_B,0.1803,8366,9,-72141,14,25,15,0,0,5,10997
991425,1.000,1,hacia_B,0.1920,8367,9,-69210,14,31,15,0,0,5,10883
991475,1.050,1,hacia_B,0.2045,8367,10,-72127,15,35,15,0,0,5,11000
991525,1.100,1,hacia_B,0.2178,8367,10,-71536,16,27,15,0,0,5,10997
991575,1.150,1,hacia_B,0.2278,8367,11,-70321,12,27,15,0,0,5,10998
991625,1.200,1,hacia_B,0.2378,8396,12,-71196,12,31,15,0,0,5,10880
991675,1.250,1,hacia_B,0.2512,8396,15,-68303,16,25,15,0,0,5,10995
991725,1.300,1,hacia_B,0.2620,8396,18,-68616,13,29,15,0,0,5,10995
991775,1.350,1,hacia_B,0.2720,8396,22,-73121,12,35,15,0,0,5,10997
991825,1.400,1,hacia_B,0.2853,8424,27,-72772,16,32,15,0,0,5,10883
991876,1.451,1,hacia_B,0.2998,8424,32,-74725,17,31,15,0,0,5,10994
991926,1.501,1,hacia_B,0.3106,8424,39,-77114,13,32,15,0,0,5,10995
991976,1.551,1,hacia_B,0.3206,8424,46,-73917,12,34,15,0,0,5,10997
992026,1.601,1,hacia_B,0.3356,8468,53,-75850,18,36,15,0,0,5,10884
992077,1.652,1,hacia_B,0.3492,8468,61,-70691,16,32,15,0,0,5,10997
992128,1.703,1,hacia_B,0.3603,8468,70,-68572,13,35,15,0,0,5,10997
992178,1.753,1,hacia_B,0.3719,8468,79,-70135,14,38,15,0,0,5,10997
992228,1.803,1,hacia_B,0.3869,8494,88,-70346,18,33,15,0,0,5,10883
992278,1.853,1,hacia_B,0.4028,8494,97,-70377,19,30,15,0,0,5,10997
992328,1.903,1,hacia_B,0.4169,8494,107,-71518,17,28,15,0,0,5,10995
992378,1.953,1,hacia_B,0.4294,8494,116,-80107,15,24,15,0,0,5,10995
992428,2.003,1,hacia_B,0.4419,8500,124,-83416,15,23,15,0,0,5,10885
992478,2.053,1,hacia_B,0.4536,8500,132,-83985,14,29,15,0,0,5,10996
992528,2.103,1,hacia_B,0.4686,8500,137,-96122,18,25,15,0,0,5,10995
992578,2.153,1,hacia_B,0.4819,8500,141,-113695,16,21,15,0,0,5,10998
992628,2.203,1,hacia_B,0.4936,8488,143,-126460,14,22,15,0,0,5,10878
992678,2.253,1,hacia_B,0.5053,8488,142,-134701,14,27,15,0,0,5,10997
992728,2.303,1,hacia_B,0.5178,8488,143,-118272,15,27,15,0,0,5,10998
992778,2.353,1,hacia_B,0.5319,8488,143,-133443,17,21,15,0,0,5,10996
992828,2.403,1,hacia_B,0.5428,8510,143,-135374,13,21,15,0,0,5,10882
992878,2.453,1,hacia_B,0.5519,8510,143,-145519,11,29,15,0,0,5,10996
992928,2.503,1,hacia_B,0.5661,8510,144,-141480,17,29,15,0,0,5,10996
992978,2.553,1,hacia_B,0.5803,8510,146,-149079,17,23,15,0,0,5,10996
993028,2.603,1,hacia_B,0.5944,8516,148,-146240,17,15,15,0,0,5,10885
993078,2.653,1,hacia_B,0.6061,8516,151,-155583,14,24,15,0,0,5,10996
993128,2.703,1,hacia_B,0.6169,8516,153,-161554,13,23,15,0,0,5,10996
993178,2.753,1,hacia_B,0.6319,8516,156,-165415,18,22,15,0,0,5,10996
993228,2.803,1,hacia_B,0.6453,8521,158,-170166,16,16,15,0,0,5,10886
993278,2.853,1,hacia_B,0.6544,8521,159,-169983,11,20,15,0,0,5,10994
993328,2.903,1,hacia_B,0.6661,8521,159,-174480,14,26,15,0,0,5,10997
993378,2.953,1,hacia_B,0.6811,8521,161,-170807,18,22,15,0,0,5,10996
993428,3.003,1,hacia_B,0.6953,8526,162,-178616,17,22,15,0,0,5,10883
993478,3.053,1,hacia_B,0.7053,8526,163,-175205,12,24,15,0,0,5,10995
993528,3.103,1,hacia_B,0.7161,8526,164,-176258,13,25,15,0,0,5,10997
993578,3.153,1,hacia_B,0.7311,8526,165,-179299,18,21,15,0,0,5,10993
993628,3.203,1,hacia_B,0.7436,8522,166,-167442,15,24,15,0,0,5,10881
993678,3.253,1,hacia_B,0.7536,8522,167,-168969,12,21,15,0,0,5,10996
993728,3.303,1,hacia_B,0.7678,8522,167,-164888,17,29,15,0,0,5,10996
993778,3.353,1,hacia_B,0.7819,8522,167,-168427,17,21,15,0,0,5,10997
993828,3.403,1,hacia_B,0.7928,8547,169,-148290,13,23,15,0,0,5,10883
993878,3.453,1,hacia_B,0.8011,8547,169,-157617,10,27,15,0,0,5,10995
993928,3.503,1,hacia_B,0.8128,8547,172,-155484,14,32,15,0,0,5,10994
993978,3.553,1,hacia_B,0.8186,8547,175,-156141,7,39,15,0,0,5,10998
994028,3.603,1,hacia_B,0.8294,8590,180,-156902,13,42,15,0,0,5,10887
994078,3.653,1,hacia_B,0.8353,8590,186,-153301,7,47,15,0,0,5,10997
994128,3.703,1,hacia_B,0.8444,8590,194,-139984,11,47,15,0,0,5,10996
994178,3.753,1,hacia_B,0.8503,8590,203,-128917,7,58,15,0,0,5,10996
994228,3.803,1,hacia_B,0.8578,8587,210,-129740,9,58,15,0,0,5,10886
994278,3.853,1,hacia_B,0.8661,8587,218,-132619,10,61,0,0,1,3,10996
994328,3.903,1,hacia_B,0.8669,8587,225,-126746,1,54,-15,0,1,4,10997
994378,3.953,1,hacia_B,0.8678,8587,230,-125849,1,40,-15,0,1,4,10995
994428,4.003,1,volviendo_a_A,0.8669,8520,232,-131792,-1,24,-15,0,1,4,10883
994478,4.053,1,volviendo_a_A,0.8661,8520,231,-133759,-1,16,-15,0,1,4,10994
994528,4.103,1,volviendo_a_A,0.8653,8520,226,-127692,-1,4,-15,0,1,4,10997
994578,4.153,1,volviendo_a_A,0.8636,8520,217,-117473,-2,-3,-15,0,1,4,10997
994628,4.203,1,volviendo_a_A,0.8619,8394,204,-102010,-2,-15,-15,0,1,4,10879
994678,4.253,1,volviendo_a_A,0.8594,8394,186,-89349,-3,-23,-15,0,1,4,10996
994728,4.303,1,volviendo_a_A,0.8553,8394,164,-82648,-5,-25,-15,0,1,4,10995
994778,4.353,1,volviendo_a_A,0.8453,8394,140,-77827,-12,-29,-15,0,1,4,10996
994828,4.403,1,volviendo_a_A,0.8394,8370,116,-74506,-7,-35,-15,0,1,4,10885
994878,4.453,1,volviendo_a_A,0.8286,8370,93,-72457,-13,-31,-15,0,0,4,10997
994928,4.503,1,volviendo_a_A,0.8194,8370,71,-78038,-11,-33,-15,0,0,4,10997
994978,4.553,1,volviendo_a_A,0.8053,8370,53,-72045,-17,-37,-15,0,0,4,10998
995028,4.603,1,volviendo_a_A,0.7919,8368,38,-73402,-16,-37,-15,0,0,4,10882
995078,4.653,1,volviendo_a_A,0.7811,8368,27,-70795,-13,-35,-15,0,0,4,10997
995128,4.703,1,volviendo_a_A,0.7694,8368,21,-69284,-14,-35,-15,0,0,4,10998
995178,4.753,1,volviendo_a_A,0.7578,8368,18,-69781,-14,-33,-15,0,0,4,10996
