# ensayo 2026-09-14 20:37:33
# lc1_cuentas_por_N=0
# repeticiones_pedidas=1  B=1.000 rev (posicion)
# lc1_base ya lleva restada la tara del firmware; lc1_raw es cruda
t_ms,t_rel_s,rep,fase,pos_rev,lc1_raw,lc1_base,rpm,par_x10,ref_rpm,lim_a,lim_b,estado,work_us
6693096,0.000,1,hacia_B,-0.0192,7911,-319,1,-378,30,1,0,5,10819
6693146,0.050,1,hacia_B,-0.0167,7911,-319,3,-362,30,1,0,5,10992
6693196,0.100,1,hacia_B,-0.0108,7911,-316,7,-346,30,1,0,5,10991
6693246,0.150,1,hacia_B,-0.0008,7911,-314,12,-336,30,1,0,5,10991
6693296,0.200,1,hacia_B,0.0140,7901,-310,18,-330,30,0,0,5,10840
6693346,0.250,1,hacia_B,0.0348,7901,-308,25,-332,30,0,0,5,10984
6693396,0.300,1,hacia_B,0.0582,7901,-304,28,-334,30,0,0,5,10985
6693446,0.350,1,hacia_B,0.0840,7901,-303,31,-339,30,0,0,5,10992
6693496,0.400,1,hacia_B,0.1055,7922,-304,27,-329,30,0,0,5,10837
6693546,0.450,1,hacia_B,0.1238,7922,-303,22,-325,30,0,0,5,10989
6693596,0.500,1,hacia_B,0.1397,7922,-303,19,-311,30,0,0,5,10989
6693646,0.550,1,hacia_B,0.1555,7922,-301,19,-308,30,0,0,5,10991
6693696,0.600,1,hacia_B,0.1730,7925,-301,21,-305,30,0,0,5,10873
6693746,0.650,1,hacia_B,0.1955,7925,-299,27,-302,30,0,0,5,10990
6693796,0.700,1,hacia_B,0.2197,7925,-298,29,-305,30,0,0,5,10989
6693846,0.750,1,hacia_B,0.2472,7925,-295,33,-308,30,0,0,5,10994
6693896,0.800,1,hacia_B,0.2730,7936,-291,31,-311,30,0,0,5,10874
6693946,0.850,1,hacia_B,0.3013,7936,-289,34,-314,30,0,0,5,10991
6693996,0.900,1,hacia_B,0.3305,7936,-288,35,-311,30,0,0,5,10988
6694046,0.950,1,hacia_B,0.3580,7936,-286,33,-325,30,0,0,5,10990
6694096,1.000,1,hacia_B,0.3872,7932,-285,35,-319,30,0,0,5,10871
6694146,1.050,1,hacia_B,0.4155,7932,-284,34,-328,30,0,0,5,10992
6694196,1.100,1,hacia_B,0.4422,7932,-282,32,-329,30,0,0,5,10993
6694246,1.150,1,hacia_B,0.4688,7932,-281,32,-319,30,0,0,5,10987
6694296,1.200,1,hacia_B,0.4955,7954,-279,32,-325,30,0,0,5,10880
6694346,1.250,1,hacia_B,0.5222,7954,-276,32,-333,30,0,0,5,10985
6694396,1.300,1,hacia_B,0.5497,7954,-272,33,-332,30,0,0,5,10996
6694446,1.350,1,hacia_B,0.5763,7954,-270,32,-337,30,0,0,5,10986
6694496,1.400,1,hacia_B,0.6030,7963,-268,32,-333,30,0,0,5,10878
6694546,1.450,1,hacia_B,0.6297,7963,-266,32,-337,30,0,0,5,10991
6694596,1.500,1,hacia_B,0.6547,7963,-264,30,-333,30,0,0,5,10992
6694646,1.550,1,hacia_B,0.6797,7963,-260,30,-335,30,0,0,5,10990
6694696,1.600,1,hacia_B,0.7047,7967,-258,30,-333,30,0,0,5,10874
6694746,1.650,1,hacia_B,0.7297,7967,-255,30,-335,30,0,0,5,10992
6694796,1.700,1,hacia_B,0.7547,7967,-254,30,-336,30,0,0,5,10988
6694846,1.750,1,hacia_B,0.7805,7967,-252,31,-335,30,0,0,5,10993
6694896,1.800,1,hacia_B,0.8055,7974,-249,30,-339,30,0,0,5,10875
6694946,1.850,1,hacia_B,0.8313,7974,-247,31,-334,30,0,0,5,10988
6694996,1.900,1,hacia_B,0.8572,7974,-244,31,-337,30,0,0,5,10991
6695046,1.950,1,hacia_B,0.8838,7974,-243,32,-339,30,0,0,5,10991
6695096,2.000,1,hacia_B,0.9088,7986,-240,30,-342,30,0,0,5,10876
6695146,2.050,1,hacia_B,0.9330,7986,-239,29,-336,30,0,0,5,10986
6695196,2.100,1,hacia_B,0.9572,7986,-236,29,-342,30,0,0,5,10994
6695246,2.150,1,hacia_B,0.9822,7986,-234,30,-339,30,0,0,5,10988
6695296,2.200,1,hacia_B,1.0047,8003,-231,27,-336,30,0,0,5,10880
6695346,2.250,1,hacia_B,1.0280,8003,-227,28,-330,30,0,0,5,10986
6695396,2.300,1,hacia_B,1.0522,8003,-225,29,-330,30,0,0,5,10990
