# ensayo 2026-09-14 19:41:05
# lc1_cuentas_por_N=0
# repeticiones_pedidas=1  B=1.000 rev (posicion)
# lc1_base ya lleva restada la tara del firmware; lc1_raw es cruda
t_ms,t_rel_s,rep,fase,pos_rev,lc1_raw,lc1_base,rpm,par_x10,ref_rpm,lim_a,lim_b,estado,work_us
3305691,0.000,1,hacia_B,-0.0018,7910,-320,11,-328,40,1,0,5,10869
3305741,0.050,1,hacia_B,0.0157,7910,-316,21,-327,40,0,0,5,10998
3305791,0.100,1,hacia_B,0.0415,7910,-311,31,-323,40,0,0,5,10999
3305841,0.150,1,hacia_B,0.0723,7910,-308,37,-325,40,0,0,5,10998
3305891,0.200,1,hacia_B,0.1048,7909,-306,39,-334,40,0,0,5,10877
3305941,0.250,1,hacia_B,0.1348,7909,-304,36,-325,40,0,0,5,10998
3305991,0.300,1,hacia_B,0.1607,7909,-303,31,-311,40,0,0,5,10997
3306041,0.350,1,hacia_B,0.1873,7909,-301,32,-302,40,0,0,5,10999
3306091,0.400,1,hacia_B,0.2132,7924,-301,31,-304,40,0,0,5,10889
3306141,0.450,1,hacia_B,0.2432,7924,-301,36,-299,40,0,0,5,10998
3306191,0.500,1,hacia_B,0.2765,7924,-300,40,-300,40,0,0,5,10998
3306241,0.550,1,hacia_B,0.3123,7924,-298,43,-302,40,0,0,5,10999
3306291,0.600,1,hacia_B,0.3507,7919,-295,46,-311,40,0,0,5,10879
3306341,0.650,1,hacia_B,0.3890,7919,-291,46,-316,40,0,0,5,10998
3306391,0.700,1,hacia_B,0.4282,7919,-288,47,-320,40,0,0,5,10997
3306441,0.750,1,hacia_B,0.4665,7919,-287,46,-322,40,0,0,5,11000
3306491,0.800,1,hacia_B,0.5032,7944,-285,44,-333,40,0,0,5,10879
3306541,0.850,1,hacia_B,0.5373,7944,-283,41,-335,40,0,0,5,10999
3306591,0.900,1,hacia_B,0.5723,7944,-281,42,-331,40,0,0,5,10997
3306641,0.950,1,hacia_B,0.6082,7944,-278,43,-333,40,0,0,5,10998
3306691,1.000,1,hacia_B,0.6432,7952,-276,42,-333,40,0,0,5,10879
3306741,1.050,1,hacia_B,0.6782,7952,-274,42,-336,40,0,0,5,10998
3306791,1.100,1,hacia_B,0.7132,7952,-271,42,-333,40,0,0,5,10997
3306841,1.150,1,hacia_B,0.7490,7952,-267,43,-332,40,0,0,5,10998
3306891,1.200,1,hacia_B,0.7840,7967,-264,42,-333,40,0,0,5,10885
3306941,1.250,1,hacia_B,0.8190,7967,-262,42,-336,40,0,0,5,10997
3306991,1.300,1,hacia_B,0.8532,7967,-259,41,-331,40,0,0,5,11000
3307041,1.350,1,hacia_B,0.8865,7967,-257,40,-337,40,0,0,5,10997
3307091,1.400,1,hacia_B,0.9207,7984,-253,41,-332,40,0,0,5,10882
3307141,1.450,1,hacia_B,0.9548,7984,-249,41,-330,40,0,0,5,10997
3307191,1.500,1,hacia_B,0.9882,7984,-246,40,-332,40,0,0,5,10998
3307241,1.550,1,hacia_B,1.0207,7984,-242,39,-327,40,0,0,5,11000
3307291,1.600,1,hacia_B,1.0540,8004,-238,40,-329,40,0,0,5,10887
3307341,1.650,1,hacia_B,1.0865,8004,-234,39,-329,40,0,0,5,10997
